class,medically_important,pattern
Aminoglycosides,TRUE,^amikacin|^apramycin|streptomycin|^gentamicin|^kanamycin|^neomycin|^spectinomycin
Amphenicols,TRUE,^florfenicol|^chloramphenicol
Cephalosporins,TRUE,^cef|^ceph
Diaminopyrimidines,TRUE,^trimethoprim|^ormetoprim
Fluoroquinolones,TRUE,floxacin
Lincosamides,TRUE,^lincomycin|^clindamycin|^pirlimycin
Macrolides,TRUE,^erythromycin|^tylosin|^tilmicosin|^tulathromycin|^gamithromycin|^tildipirosin|^tylvalosin|^oleandomycin|^carbomycin
Penicillins,TRUE,^penicillin|^amoxicillin|^ampicillin|^cloxacillin|^dicloxacillin|^hetacillin|^ticarcillin
Polymyxins,TRUE,^polymyxin|^colistimethate|^sulfomyxin
Streptogramins,TRUE,^virginiamycin
Sulfonamides,TRUE,\bsulfa(?!te\b)[a-z]+|\bsulfisoxazole
Tetracyclines,TRUE,^tetracycline|^oxytetracycline|^chlortetracycline|^doxycycline
Aminocoumarins,FALSE,^novobiocin
Glycolipids,FALSE,^bambermycins
Ionophores,FALSE,^monensin|^lasalocid|^salinomycin|^narasin|^laidlomycin|^maduramicin|^semduramicin
Orthosomycins,FALSE,^avilamycin
Pleuromutilins,FALSE,^tiamulin
Polypeptides,FALSE,^bacitracin
Quinoxalines,FALSE,^carbadox
