setid,appNumbers
6bd0c4d1-f44f-4ab0-8f13-7e5d96f628e7,038233
519eed25-f069-4739-83f8-9a11f9f499ec,138935
b8a2f83d-b7e7-41ad-a955-5b93a6b760b6,138935
b78ef44c-b4a3-4b8c-8903-83d7ff0bbf5a,138935
4c0a15fd-2d86-41ef-ace8-370f3ef447d1,138935
e0f1bc86-0d2c-4c57-999e-ba7670430b65,138935
45002b85-acfb-49f2-9a7b-3df80b1293ac,200295
5ebc9173-18cf-425e-8e37-69a1715bd9af,141216
a1e1d1a9-edb0-4112-8339-448a35c3c5f7,141087
af957e43-416d-4284-82e5-d31d06d8066f,065470
fe38871c-360e-4c29-b2c6-bb54c40ff214,046592
d387b7de-0dee-49d8-b66a-73aabbda9959,140896
4e091566-8c7a-43d4-93f5-66231ad813a6,
e1042c12-c777-4614-89dd-99d99e2d2df7,
0a5bcf2b-2464-4c86-ac72-d1dd026b08a8,140901
1edcf949-d6de-4921-815d-f86ccf084cae,141038
466f2d34-b5fe-40e2-91e7-00fdbeba35bd,140901
84fe39b2-0423-479a-b81f-198e2fb4e826,128409
42685f13-73db-413b-bc6e-43431f098f8e,131392
a3ee24dc-527f-4880-a55e-acd33b833192,140841
50ce5909-7c1a-49f7-bdae-c0c65acc4f23,140833
23d4e626-9ba0-4e5a-8a52-616546cdc2da,009576
aaac6cde-7622-4c33-aff5-718a303066a4,141348
c1713229-6659-4d75-9bc8-77772cb20252,141348
721167af-d5a2-4a5e-afca-6b17465256ed,141043
8893799d-d617-43dc-bcd2-5604deadb694,141043
5cdef530-023e-4d34-8e97-77f143b0068f,011427
6d4c6678-278b-4242-b56d-286686d9875f,009576
149e1253-5760-4813-9d91-bfeb1c1fa942,141043
33abd9eb-4fa3-45da-91b9-f3162d0710b2,141348
e856da36-f717-4645-8841-27460cf87d91,141519
ec3ba375-9519-4a3d-afe3-eda451bb3488,141189
8ee9c677-d86c-4f2f-9eec-6998f4394ae1,141052
44b8a743-4f00-457a-8b7e-5f3a557c04f1,141061
ec6ff537-4773-432d-86db-7ba767769c80,141095
27197d3c-8e25-4e78-b83b-ee26f9249369,141199
dbc05493-d1cc-4c00-be6b-d1e3352273fd,141111
ae09baf6-1d34-44b0-b9c9-aa9766cdab14,141053
013fccfc-463c-423f-be2a-cb259dae7e76,200604
063b024a-c878-4230-a8fd-7decc1bcb380,200592
2f628ed5-75cb-47a1-a5e7-2902c6f3d336,065492
ae1c7f99-b22c-4533-8334-655a8ec87db2,141261
b79ee411-061a-4c89-8599-72629ba00ac5,141261
00931aa1-4b45-41f2-ae2f-f966d308c518,043304
6fac13e9-69dd-464c-acbe-e20457b8b540,200588
d14180ed-329c-464a-a9ac-b7bbf3d59536,113232
2623f078-1ce0-4ae3-98c5-657971bad554,008763
d30ffe60-a418-4425-883e-58d10417b9bf,011060
000d7ed6-8907-4e0c-b731-a59e7b394285,200628
979902b4-1757-4309-b37a-fba910ecc607,200669
82f08410-b5de-4f1c-a059-48747a4328fe,200668
1b3ce6fb-0493-4b22-ab53-d2d52af47267,200310
f65a7756-a03e-481e-943b-fdc6c715a454,092287
2e20c08c-87fe-404c-9f78-149951d30675,200714
2ce3a61d-2004-4269-b8b3-3755b99b6d46,
