"applicationType","applicationNumber","sponsor","ingredients","action"
"Pioneer",7981,"Zoetis Inc.","Sulfisoxazole","Supplement Approved"
"Pioneer",8763,"Zoetis Inc.","Oxytetracycline, Polymyxin B","Supplement Approved"
"Pioneer",8769,"Zoetis Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",8774,"Huvepharma EOOD","Sulfamethazine","Supplement Approved"
"Pioneer",11060,"Zoetis Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",11532,"Boehringer Ingelheim Animal Health USA","Sulfabromomethazine","Application Voluntarily Withdrawn"
"Pioneer",12123,"Bimeda Animal Health Ltd","Erythromycin","Supplement Approved"
"Pioneer",12965,"Elanco US Inc.","Tylosin","Supplement Approved"
"Pioneer",31715,"Zoetis Inc.","Sulfadimethoxine","Supplement Approved"
"Pioneer",31944,"Zoetis Inc.","Sulfomyxin","Supplement Approved"
"Pioneer",33127,"Boehringer Ingelheim Animal Health USA","Sulfachlorpyridazine","Application Voluntarily Withdrawn"
"Pioneer",33157,"Huvepharma EOOD","Spectinomycin","Supplement Approved"
"Pioneer",33318,"Boehringer Ingelheim Animal Health USA","Sulfachlorpyridazine","Application Voluntarily Withdrawn"
"Pioneer",34025,"Zoetis Inc.","Lincomycin","Supplement Approved"
"Pioneer",35455,"Bimeda Animal Health Ltd","Erythromycin","Supplement Approved"
"Pioneer",35456,"Bimeda Animal Health Ltd","Erythromycin","Supplement Approved"
"Pioneer",37586,"Zoetis Inc.","Erythromycin","Supplement Approved"
"Pioneer",40040,"Huvepharma EOOD","Spectinomycin","Supplement Approved"
"Pioneer",40181,"Huvepharma EOOD","Sulfachlorpyridazine","Supplement Approved"
"Pioneer",41245,"Zoetis Inc.","Sulfadimethoxine","Supplement Approved"
"Pioneer",41629,"Zoetis Inc.","Spectinomycin","Supplement Approved"
"Pioneer",45143,"Cronus Pharma Specialties India Private Ltd","Oxytetracycline","Supplement Approved"
"Pioneer",47278,"Cronus Pharma Specialties India Private Ltd","Oxytetracycline","Supplement Approved"
"Pioneer",48287,"Huvepharma EOOD","Oxytetracycline","Supplement Approved"
"Pioneer",55018,"Huvepharma EOOD","Chlortetracycline","Supplement Approved"
"Pioneer",55039,"Huvepharma EOOD","Chlortetracycline","Supplement Approved"
"Pioneer",55072,"Zoetis Inc.","Penicillin G Procaine, Novobiocin","Supplement Approved"
"Pioneer",55097,"HQ Specialty Pharma Corporation","Dihydrostreptomycin, Penicillin G Procaine","Supplement Approved"
"Pioneer",55098,"Zoetis Inc.","Penicillin G Procaine, Novobiocin","Supplement Approved"
"Pioneer",65004,"Zoetis Inc.","Tetracycline","Supplement Approved"
"Pioneer",65010,"Norbrook Laboratories, Ltd.","Penicillin G Procaine","Supplement Approved"
"Pioneer",65013,"Norbrook Laboratories, Ltd.","Dihydrostreptomycin","Application Voluntarily Withdrawn"
"Pioneer",65081,"HQ Specialty Pharma Corp.","Penicillin G Procaine","Supplement Approved"
"Pioneer",65110,"Huvepharma EOOD","Penicillin G Procaine","Supplement Approved"
"Pioneer",65124,"Zoetis Inc.","Tetracycline","Supplement Approved"
"Pioneer",65130,"Zoetis Inc.","Penicillin G Procaine","Supplement Approved"
"Pioneer",65169,"Zoetis Inc.","Penicillin G Benzathine, Penicillin G Procaine","Supplement Approved"
"Pioneer",65174,"Zoetis Inc.","Penicillin G Procaine","Supplement Approved"
"Pioneer",65270,"Zoetis Inc.","Tetracycline","Supplement Approved"
"Pioneer",65383,"Bimeda Animal Health Ltd","Penicillin G Procaine","Supplement Approved"
"Pioneer",65481,"Cronus Pharma Specialties India Private Ltd","Chlortetracycline","Supplement Approved"
"Pioneer",65493,"Norbrook Laboratories, Ltd.","Penicillin G Procaine","Application Voluntarily Withdrawn"
"Pioneer",65498,"Huvepharma EOOD","Penicillin G Benzathine, Penicillin G Procaine","Supplement Approved"
"Pioneer",65500,"Norbrook Laboratories, Ltd.","Penicillin G Benzathine, Penicillin G Procaine","Application Voluntarily Withdrawn"
"Pioneer",65505,"Bimeda Animal Health Ltd.","Penicillin G Procaine","Supplement Approved"
"Pioneer",65506,"Bimeda Animal Health Ltd.","Penicillin G Benzathine, Penicillin G Procaine","Supplement Approved"
"Pioneer",91127,"Zoetis Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",92523,"Intervet, Inc.","Gentamicin","Supplement Approved"
"Pioneer",93329,"Elanco US Inc.","Sulfamethazine","Application Voluntarily Withdrawn"
"Pioneer",94114,"Zoetis Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",95642,"Boehringer Ingelheim Animal Health USA","Oxytetracycline","Application Voluntarily Withdrawn"
"Pioneer",97222,"Boehringer Ingelheim Animal Health USA","Cephapirin","Supplement Approved"
"Pioneer",97452,"Cronus Pharma Specialties India Private Ltd","Oxytetracycline","Supplement Approved"
"Pioneer",99402,"Zoetis Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",101862,"Intervet, Inc.","Gentamicin","Supplement Approved"
"Pioneer",103037,"Intervet, Inc.","Gentamicin","Supplement Approved"
"Pioneer",108114,"Boehringer Ingelheim Animal Health USA","Cephapirin Benzathine","Supplement Approved"
"Pioneer",108963,"Cronus Pharma Specialties India Private Ltd","Oxytetracycline","Supplement Approved"
"Pioneer",110315,"Elanco US Inc.","Tylosin","Supplement Approved"
"Pioneer",113232,"Zoetis Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",118123,"Elanco US Inc.","Oxytetracycline","Supplement Approved"
"Pioneer",120615,"Bimeda Animal Health Ltd","Sulfamethazine","Supplement Approved"
"Pioneer",122271,"Huvepharma EOOD","Sulfamethazine","Supplement Approved"
"Pioneer",130464,"Intervet, Inc.","Gentamicin","Supplement Approved"
"Pioneer",130952,"Intervet, Inc.","Gentamicin","Supplement Approved"
"Pioneer",135906,"Elanco US Inc.","Tylosin","Supplement Approved"
"Pioneer",138955,"Huvepharma EOOD","Tylosin","Supplement Approved"
"Pioneer",140270,"Huvepharma EOOD","Sulfamethazine","Supplement Approved"
"Pioneer",140582,"Bimeda Animal Health Ltd.","Oxytetracycline","Supplement Approved"
"Pioneer",140908,"Lloyd, Inc.","Sulfamethazine","Application Voluntarily Withdrawn"
"Pioneer",140909,"Zoetis Inc.","Sulfamethazine","Supplement Approved"
"Pioneer",141002,"Boehringer Ingelheim Animal Health USA","Oxytetracycline","Application Voluntarily Withdrawn"
"Pioneer",141143,"Norbrook Laboratories, Ltd.","Oxytetracycline","Supplement Approved"
"Generic",200008,"Boehringer Ingelheim Animal Health USA","Oxytetracycline","Supplement Approved"
"Generic",200038,"Huvepharma EOOD","Sulfadimethoxine","Supplement Approved"
"Generic",200068,"Huvepharma EOOD","Oxytetracycline","Supplement Approved"
"Generic",200117,"Bimeda Animal Health Ltd.","Oxytetracycline","Supplement Approved"
"Generic",200123,"Huvepharma EOOD","Oxytetracycline","Supplement Approved"
"Generic",200127,"Zoetis Inc.","Spectinomycin","Supplement Approved"
"Generic",200128,"Huvepharma EOOD","Oxytetracycline","Supplement Approved"
"Generic",200147,"Huvepharma EOOD","Gentamicin","Supplement Approved"
"Generic",200154,"Pharmgate Inc.","Oxytetracycline","Supplement Approved"
"Generic",200174,"Huvepharma EOOD","Gentamicin","Supplement Approved"
"Generic",200191,"Med-Pharmex Inc.","Gentamicin","Application Voluntarily Withdrawn"
"Generic",200221,"Elanco US Inc.","Tylosin","Supplement Approved"
"Generic",200224,"Elanco US Inc.","Tylosin","Supplement Approved"
"Generic",200274,"Zoetis Inc.","Lincomycin","Supplement Approved"
"Generic",200306,"Norbrook Laboratories, Ltd.","Oxytetracycline","Supplement Approved"
"Generic",200315,"Sparhawk Laboratories, Inc.","Lincomycin","Supplement Approved"
"Generic",200346,"Elanco US Inc.","Tylosin","Supplement Approved"
"Generic",200351,"Huvepharma EOOD","Lincomycin","Supplement Approved"
"Generic",200364,"Bimeda Animal Health Ltd.","Spectinomycin","Supplement Approved"
"Generic",200368,"Bimeda Animal Health Ltd.","Lincomycin","Supplement Approved"
"Generic",200394,"Sparhawk Laboratories, Inc.","Gentamicin","Supplement Approved"
"Generic",200452,"Norbrook Laboratories, Ltd.","Oxytetracycline","Supplement Approved"
"Generic",200468,"Bimeda Animal Health Ltd.","Gentamicin","Supplement Approved"
"Generic",200508,"Bimeda Animal Health Ltd.","Tylosin","Supplement Approved"
"Generic",200523,"Bimeda Animal Health Ltd.","Sulfadimethoxine","Supplement Approved"
"Generic",200537,"Bimeda Animal Health Ltd.","Oxytetracycline","Supplement Approved"
