proprietaryNameId,proprietaryName,manufacturer,url,verification
220,Butorphanol Tartrate Injection,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/butorphanol-tartrate-injection,content
2922,Clavacillin®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/clavacillin-drops,content
12913,Clavacillin®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/clavacillin-drops,content
19716,CosACTHen®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/cosacthen-cosyntropin-injection,content
2621,Dexmedesed®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/dexmedesed-dexmedetomidine-hydrochloride-sterile-injectable-solution,content
20653,Domidine™,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/domidine-detomidine-hydrochloride,content
16962,DuOtic®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/duotic-terbinafine-and-betamethasone-acetate-otic-gel,content
2647,Enrofloxacin Antibacterial Injectable Solution,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/enrofloxacin-antibacterial-injectable-solution-2-27,content
419,Enrofloxacin Flavored Tablets,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/enrofloxacin-antibacterial-injectable-solution-2-27,content
2382,Equidone® Gel,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/equidone-gel-domperidone,content
2381,Felimazole®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/cat/prescription/felimazole-coated-tablets-methimazole-tablets,content
362,Isospire™,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/isospire-isoflurane-inhalation-anesthetic,content
482,"Ketamine Hydrochloride Injection, USP",Dechra,https://www.dechra-us.com/our-products/us/companion-animal/cat/prescription/ketamine-hydrochloride-injection,content
19715,LAVERDIA®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/laverdia-ca1-verdinexor-tablets,content
9453,Marboquin™,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/marboquin-marbofloxacin-tablets,content
2615,Meloxicam Solution for Injection,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/meloxicam-solution-for-injection,content
3872,Mirataz®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/cat/prescription/mirataz-mirtazapine-transdermal-ointment,content
2902,Mometavet®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/mometavet-gentamicin-sulfate-mometasone-furoate-anhydrous-and-clotrimazole-otic-suspension,content
2643,Osphos®,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/osphos-clodronate-injection,content
2617,Osurnia™,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/osurnia-florfenicol-terbinafine-betamethasone-acetate-otic-gel-for-dogs,content
939,Rompun® Injectable (100 mg),Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/rompun-xylazine-injection-100-mg-ml,content
975,Rompun® Injectable (20 mg),Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/rompun-xylazine-injection-100-mg-ml,content
2909,Sevospire™,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/sevospire-sevoflurane-inhalation-anesthetic,content
6431,Sporimune™,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/sporimune-cyclosporine-capsules-usp-modified,content
2453,SucroMate® Equine,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/sucromate-equine-deslorelin-acetate-sterile-suspension,content
98,Torphadine®,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/torphadine-butorphanol-tartrate-injection,content
2514,Tzed™,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/tzed-tiletamine-and-zolazepam-for-injection,content
2189,VETORYL® CAPSULES,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/vetoryl-capsules-trilostane,content
1077,Vetropolycin HC Ophthalmic Ointment,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/vetropolycin-bacitracin-neomycin-polymyxin-veterinary-ophthalmic-ointment,content
1075,Vetropolycin Ophthalmic Ointment,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/vetropolycin-bacitracin-neomycin-polymyxin-veterinary-ophthalmic-ointment,content
13675,Zenalpha®,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/zenalpha-medetomidine-and-vatinoxan-hydrochlorides-injection,content
8912,Zimeta®,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/zimeta-dipyrone-injection,content
2632,Zycortal® Suspension,Dechra,https://www.dechra-us.com/our-products/us/companion-animal/dog/prescription/zycortal-suspension-desoxycorticosterone-pivalate-injectable-suspension,content
14922,Zycosan®,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/zycosan-pentosan-polysulfate-sodium-injection,content
19718,Zygolide®,Dechra,https://www.dechra-us.com/our-products/us/equine/horse/prescription/zygolide-pergolide-tablets,content
13515,AROVYN™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/arovyn/,content
1049,Amoxi-Mast®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/amoxi-mast/,content
1769,BO-SE,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/bo-se/,content
2885,BRAVECTO®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/bravecto-quantum/,content
10512,BRAVECTO® 1-MONTH,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/bravecto-quantum/,content
8932,BRAVECTO® PLUS,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/bravecto-quantum/,content
19065,BRAVECTO® QUANTUM,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/bravecto-quantum/,content
2090,Banamine®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/banamine-s/,content
2118,Banamine® Granules,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/banamine-s/,content
2798,Banamine® Paste,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/banamine-s/,content
3170,Banamine® Transdermal,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/banamine-s/,content
2089,Banamine®-S,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/banamine-s/,content
2641,Bravecto®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/bravecto-quantum/,content
168,Dolorex®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/dolorex/,content
19090,Exzolt™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/exzolt/,content
19686,Exzolt™ Cattle-CA1,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/exzolt/,content
47,FERTAGYL®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/fertagyl/,content
1986,Imizol®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/imizol-imidocarb-dipropionate/,content
2083,Imizol® Equine Injection,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/imizol-imidocarb-dipropionate/,content
2408,Incurin®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/incurin-tablets-estriol-1-mg/,content
264,Matrix®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/matrix/,content
18749,Mometamax Single™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/mometamax-single/,content
532,Mometamax™ Otic Suspension,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/mometamax-single/,content
1836,Mu-Se,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/mu-se/,content
178,Nuflor®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/nuflor-s/,content
1505,Nuflor®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/nuflor-s/,content
479,Nuflor® Concentrate Solution,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/nuflor-s/,content
12697,Nuflor®-S,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/nuflor-s/,content
20032,Numelvi™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/numelvi/,content
1310,Optimmune®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/optimmune-ophthalmic-ointment-0-2-cyclosporine-usp/,content
2375,Orbax®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/orbax-oral-suspension-orbifloxacin/,content
2013,Orbax® Tablets,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/orbax-oral-suspension-orbifloxacin/,content
1103,Orbenin DC™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/orbenin-dc/,content
1290,Otomax®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/otomax-ointment/,content
2256,Panacur®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
1628,Panacur® C (OTC),Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
2167,Panacur® Granules 22.2%,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
1627,Panacur® Granules 22.2% (Rx),Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
184,Panacur® Plus,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
2056,Panacur® Suspension 10%,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
2418,Posatex® Otic Suspension,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/posatex-otic-suspension/,content
208,Protazil®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/protazil/,content
1,Ralgro®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/wp-content/uploads/sites/120/2025/07/Ralgro-2023-Product.jpg,listed
275,Ralgro® L. A.,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/wp-content/uploads/sites/120/2025/07/Ralgro-2023-Product.jpg,listed
580,Regu-Mate®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/regu-mate/,content
2379,Resflor GOLD®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/resflor-gold/,content
1298,Revalor®-200,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-200/,content
1291,Revalor®-G,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-g/,content
1299,Revalor®-H,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-h/,content
1300,Revalor®-IH,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-ih/,content
1292,Revalor®-IS,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-is/,content
1293,Revalor®-S,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-s/,content
191,Revalor®-XH,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-xh/,content
2969,Revalor®-XS,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/revalor-xs/,content
2011,SAFE-GUARD® plus LINCOMIX®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
1910,Safe-Guard®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
1938,Safe-Guard®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
2237,Safe-Guard®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
2257,Safe-Guard®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
2536,Safe-Guard® AquaSol,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
1629,Safe-Guard® Canine (OTC),Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
20226,Safe-Guard® EnProAl®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
2809,Safe-Guard® Type A Medicated Article,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
415,Salix®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/wp-content/uploads/sites/120/2025/10/Salix-2026.png,listed
422,Salix® Tablets,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/wp-content/uploads/sites/120/2025/10/Salix-2026.png,listed
2027,Sentinel® Flavor Tabs®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/sentinel-flavor-tabs/,content
312,Sentinel® Flavor Tabs® and Capstar® Flea Management System™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/sentinel-flavor-tabs/,content
2470,Sentinel® Spectrum®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/sentinel-flavor-tabs/,content
2482,Zuprevo™,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/zuprevo-18-tildipirosin/,content
2132,panacur®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/panacur-paste-10/,content
2133,safe-guard®,Merck Animal Health (Intervet),https://www.merck-animal-health-usa.com/products/safe-guard-paste-10/,content
16438,AYRADIA™,Virbac,https://us.virbac.com/products/antibiotics/ayradiaTM-metronidazole-oral-suspension-for-dogs,content
1169,Biomox,Virbac,https://us.virbac.com/products/antibiotics/biomox-amoxicillin-tablets,content
1321,Biomox®,Virbac,https://us.virbac.com/products/antibiotics/biomox-amoxicillin-tablets,content
1988,CLOMICALM®,Virbac,https://us.virbac.com/products/behavior/clomicalm-clomipramine-hydrochlo,content
170,Clintabs®,Virbac,https://us.virbac.com/products/antibiotics/clintabs-clindamycin-hydrochlori,content
11252,Cyclavance®,Virbac,https://us.virbac.com/products/skin-health/cyclavance-cyclosporine-oral-solution-usp-modified,content
2410,Easotic®,Virbac,https://us.virbac.com/products/easotic-hydrocortisone-aceponate,content
17425,Felanorm®,Virbac,https://us.virbac.com/products/felanorm-oral-solution/felanorm-methimazole-oral-solution,content
498,Genesis® Topical Spray,Virbac,https://us.virbac.com/products/skin-hygiene/genesis-topical-spray,content
234,IVERHART MAX®,Virbac,https://us.virbac.com/products/parasiticides/iverhart-plus-flavored-chewables,content
3532,IVERHART MAX® Chew,Virbac,https://us.virbac.com/products/parasiticides/iverhart-plus-flavored-chewables,content
2925,Itrafungol®,Virbac,https://us.virbac.com/products/supplements/itrafungol-itraconazole-oral-solution-for-cats,content
1441,Iverhart™ Plus Flavored Chewables,Virbac,https://us.virbac.com/products/parasiticides/iverhart-plus-flavored-chewables,content
1460,Iverhart™ Tablets,Virbac,https://us.virbac.com/products/parasiticides/iverhart-plus-flavored-chewables,content
12373,PARASEDGE® Multi for Dogs,Virbac,https://us.virbac.com/products/heartworm/parasedge,content
12374,PARASEDGE™ Multi for Cats,Virbac,https://us.virbac.com/products/heartworm/parasedge,content
13676,Tenotryl™,Virbac,https://us.virbac.com/products/antibiotics/tenotryl_Swine,content
1243,ALBON® Concentrated Solution 12.5%,Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
484,Advocin™ Sterile Injectable Solution,Zoetis,https://www.zoetisus.com/products/beef/advocin/,listed
867,Albon Oral Suspension 5%,Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
817,Albon®,Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
909,Albon®,Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
1701,Albon® S.R. (Sustained Release),Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
1849,Albon® Tablets,Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
1258,Albon® or Agribon®,Zoetis,https://www.zoetisus.com/products/petcare/albon/,listed
2467,Alfaxan® Multidose,Zoetis,https://www.zoetisus.com/products/petcare/alfaxan/,listed
1913,Amiglyde-V,Zoetis,https://www.zoetisus.com/products/horses/amiglyde-v/,listed
2008,Anipryl®,Zoetis,https://www.zoetisus.com/products/petcare/anipryl/,listed
2182,Anthelcide EQ® Paste,Zoetis,https://www.zoetisus.com/products/horses/anthelcide-eq-paste/,listed
1674,Anthelcide EQ® Suspension,Zoetis,https://www.zoetisus.com/products/horses/anthelcide-eq-paste/,listed
557,Antirobe Aquadrops®,Zoetis,https://www.zoetisus.com/products/petcare/antirobe/,listed
1896,Antirobe® Capsules,Zoetis,https://www.zoetisus.com/products/petcare/antirobe/,listed
1160,CLAVAMOX® CHEWABLE Tablets,Zoetis,https://www.zoetisus.com/products/petcare/clavamox/,listed
12053,CLAVAMOX® tablets,Zoetis,https://www.zoetisus.com/products/petcare/clavamox/,listed
618,Carbocaine®-V Sterile Aqueous Solution,Zoetis,https://www.zoetisus.com/products/equine/carbocaine-v/,listed
200,Cerenia® Injectable Solution,Zoetis,https://www.zoetisus.com/products/petcare/cerenia/,listed
199,Cerenia® Tablets,Zoetis,https://www.zoetisus.com/products/petcare/cerenia/,listed
2038,Cestex®,Zoetis,https://www.zoetisus.com/products/petcare/cestex/,listed
1050,Clavamox® Drops,Zoetis,https://www.zoetisus.com/products/petcare/clavamox/,listed
186,Convenia®,Zoetis,https://www.zoetisus.com/products/petcare/convenia/,listed
19385,DECTOMAX®-CA1,Zoetis,https://www.zoetisus.com/products/cattle/dectomax-pour-on/,listed
1490,Dectomax® Injectable Solution for Cattle and Swine,Zoetis,https://www.zoetisus.com/products/cattle/dectomax-pour-on/,listed
1313,Dectomax® Pour-on Solution for Cattle,Zoetis,https://www.zoetisus.com/products/cattle/dectomax-pour-on/,listed
769,Depo-Medrol®,Zoetis,https://www.zoetisus.com/products/equine/depo-medrol/,listed
1556,Derma 4 Ointment,Zoetis,https://www.zoetisus.com/products/petcare/derma-clens-cream/,listed
2014,Doxirobe™ Gel,Zoetis,https://www.zoetisus.com/products/petcare/doxirobe-gel/,listed
473,Draxxin®,Zoetis,https://www.zoetisus.com/products/cattle/draxxin/,listed
2582,Draxxin® 25 Injectable Solution,Zoetis,https://www.zoetisus.com/products/cattle/draxxin/,listed
12334,Draxxin® KP,Zoetis,https://www.zoetisus.com/products/cattle/draxxin/,listed
